Record Number,Type,Address,Date Opened,Status
PPA24-0370,Planning Pre-Application,"2409 S VINEYARD AV, SUITE J, ONTARIO CA 91761",11/19/2024,Complete
PPA24-0369,Planning Pre-Application,"2409 S VINEYARD AV, SUITE K, ONTARIO CA 91761",11/19/2024,Complete
PSGN24-122,Sign Permit,"4198 E ONTARIO RANCH RD, ONTARIO CA 91762",11/18/2024,Active
PPA24-0368,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",11/18/2024,Complete
PTUP24-090,Temporary Use Permit,"216 N EUCLID AV, ONTARIO CA 91761",11/15/2024,Approved
PSGN24-121,Sign Permit,"3546 E CONCOURS ST, Ontario CA 91764",11/15/2024,Withdrawn
PPA24-0367,Planning Pre-Application,"1260 E LOCUST ST, SUITE 301, ONTARIO CA 91761",11/15/2024,Resubmittal Required
PTUP24-089,Temporary Use Permit,"316 W B ST, ONTARIO CA 91762",11/14/2024,Approved
PSGN24-120,Sign Permit,"4210 E FOURTH ST, SUITE A, ONTARIO CA 91764",11/14/2024,Approved Final
PPA24-0366,Planning Pre-Application,"3546 E CONCOURS ST, Ontario CA 91764",11/14/2024,Complete
PTUP24-088,Temporary Use Permit,"250 N TURNER AV, BLDG 1, ONTARIO CA 91743",11/13/2024,Approved
PTUP24-087,Temporary Use Permit,"303 E B ST, ONTARIO CA 91764",11/13/2024,Approved
PSGN24-119,Sign Permit,"4652 E BRICKELL ST, SUITE A, Ontario CA 91761",11/13/2024,Approved Final
PPA24-0365,Planning Pre-Application,"316 W B ST, ONTARIO CA 91762",11/13/2024,Complete
PVER24-051,Zoning Verification Letter,"5005 E PHILADELPHIA ST, ONTARIO CA 91761",11/12/2024,Approved
PTUP24-086,Temporary Use Permit,"216 N EUCLID AV, ONTARIO CA 91761",11/12/2024,Approved
PTUP24-085,Temporary Use Permit,"303 E B ST, ONTARIO CA 91764",11/12/2024,Approved
PTUP24-084,Temporary Use Permit,"130 W PHILLIPS ST, ONTARIO CA 91762",11/12/2024,Approved
PPA24-0364,Planning Pre-Application,"316 W B ST, ONTARIO CA 91762",11/12/2024,Resubmittal Required
PPA24-0363,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 1, Ontario CA 91761",11/11/2024,Resubmittal Required
PDEV24-026,Development Plan,"0 S ARCHIBALD AV, ONTARIO CA 91761",11/8/2024,Under Review
PPA24-0362,Planning Pre-Application,"5005 E PHILADELPHIA ST, ONTARIO CA 91761",11/8/2024,Complete
PPRE24-007,Preliminary Review,"8559 E EDISON AV, Ontario CA 91710",11/7/2024,Under Review
PHP-24-011,Historical Preservation,"200 N EUCLID AV, ONTARIO CA 91762",11/7/2024,Active
PHP-24-010,Historical Preservation,"109 E B ST, ONTARIO CA 91762",11/7/2024,Active
PSGN24-118,Sign Permit,"4155 E INLAND EMPIRE BL, ONTARIO CA 91764",11/7/2024,Approved Final
PDA-24-004,Development Agreement,"10529 E EUCALYPTUS AV, ONTARIO CA 91762",11/7/2024,Approved Final
PPA24-0361,Planning Pre-Application,"930 N HAVEN AV, ONTARIO CA 91764",11/7/2024,Complete
PSTRP24-012,Short Term Rental License,2614 GARFIELD,11/7/2024,Withdrawn
PSGN24-117,Sign Permit,"1050 N ONTARIO MILLS DR, Ontario CA 91764",11/6/2024,Approved Final
PCUP24-027,Conditional Use Permit,"3410 E ONTARIO RANCH RD, SUITE 5, ONTARIO CA 91761",11/6/2024,Approved Final
PPA24-0360,Planning Pre-Application,"1050 N ONTARIO MILLS DR, Ontario CA 91764",11/6/2024,Complete
PPA24-0359,Planning Pre-Application,"10529 E EUCALYPTUS AV, ONTARIO CA 91762",11/6/2024,Complete
PPA24-0358,Planning Pre-Application,"1 N Mills AV, Ontario CA 91762",11/6/2024,Complete
PDFR24-006,DIF Deferral Application,,11/5/2024,
PPA24-0357,Planning Pre-Application,"3410 E ONTARIO RANCH RD, SUITE 5, ONTARIO CA 91761",11/5/2024,Complete
PPA24-0356,Planning Pre-Application,"8559 E EDISON AV, Ontario CA 91710",11/5/2024,Complete
PTUP24-083,Temporary Use Permit,"2000 E CONVENTION CENTER WY, ONTARIO CA 91761",11/4/2024,Approved
PTUP24-082,Temporary Use Permit,"414 N EUCLID AV, BLDG 1, ONTARIO CA 91764",11/4/2024,Approved
PSGP24-005,Sign Program,"3560 E AIRPORT DR, ONTARIO CA 91761",11/4/2024,Under Review
PPRE24-006,Preliminary Review,"0 E CHINO AV, ONTARIO CA 91761",11/4/2024,Under Review
PCUP24-026,Conditional Use Permit,4210 E ONTARIO RANCH ROAD,11/4/2024,Schedule for Hearing
PPA24-0355,Planning Pre-Application,"4652 E BRICKELL ST, SUITE A, Ontario CA 91761",11/4/2024,Complete
PPA24-0354,Planning Pre-Application,"622 W AQUARIUS CT, ONTARIO CA 91762",11/2/2024,Withdrawn
PVER24-050,Zoning Verification Letter,"1050 S DUPONT AV, Ontario CA 91761",11/1/2024,Approved
PPRE24-005,Preliminary Review,"1425 S TOYOTA WY, ONTARIO CA 91761",11/1/2024,Under Review
PSGN24-116,Sign Permit,"1945 S BURGUNDY PL, BLDG 1, ONTARIO CA 91761",11/1/2024,Approved Final
PPA24-0353,Planning Pre-Application,"1260 E LOCUST ST, SUITE 301, Ontario CA 91761",11/1/2024,Resubmittal Required
PPA24-0352,Planning Pre-Application,"1050 S DUPONT AV, Ontario CA 91761",11/1/2024,Complete
PSGN24-115,Sign Permit,"1021 N MILLIKEN AV, ONTARIO CA 91764",10/31/2024,Approved Final
PPA24-0351,Planning Pre-Application,"1945 S BURGUNDY PL, BLDG 1, ONTARIO CA 91761",10/31/2024,Complete
PPA24-0350,Planning Pre-Application,"3560 E AIRPORT DR, ONTARIO CA 91761",10/31/2024,Complete
24TMP-009613,Planning Pre-Application,"3560 E AIRPORT DR, Ontario CA 91761",10/30/2024,
PPA24-0349,Planning Pre-Application,"1021 N MILLIKEN AV, ONTARIO CA 91764",10/30/2024,Complete
PVER24-049,Zoning Verification Letter,"1037 N ARCHIBALD AV, ONTARIO CA 91764",10/29/2024,Approved
PSGN24-114,Sign Permit,"300 E EUCALYPTUS AV, ONTARIO CA 91762",10/29/2024,Approved Final
PSGN24-113,Sign Permit,"4150 E FOURTH ST, SUITE E, ONTARIO CA 91764",10/29/2024,Approved Final
PPA24-0348,Planning Pre-Application,"1311 W FIFTH ST, BLDG 1, ONTARIO CA 91762",10/29/2024,Withdrawn
PPA24-0347,Planning Pre-Application,"4150 E FOURTH ST, SUITE E, ONTARIO CA 91764",10/28/2024,Complete
PPA24-0346,Planning Pre-Application,"1037 N ARCHIBALD AV, ONTARIO CA 91764",10/28/2024,Complete
PPA24-0345,Planning Pre-Application,"2000 E CONVENTION CENTER WY, ONTARIO CA 91761",10/26/2024,Complete
PTUP24-081,Temporary Use Permit,"4105 E INLAND EMPIRE BL, Ontario CA 91764",10/24/2024,Approved
PSGN24-112,Sign Permit,"2254 S EUCLID AV, SUITE B, ONTARIO CA 91762",10/24/2024,Approved Final
PCUP24-025,Conditional Use Permit,"430 N VINEYARD AV, SUITE 100, ONTARIO CA 91764",10/24/2024,Active
PSTRP24-011,Short Term Rental License,"2980 E BOURBON ST, Ontario CA 91761",10/24/2024,Withdrawn
PPA24-0344,Planning Pre-Application,"950 W D ST, BLDG 1, ONTARIO CA 91762",10/24/2024,Complete
PPA24-0343,Planning Pre-Application,"2254 S EUCLID AV, SUITE B, ONTARIO CA 91762",10/24/2024,Complete
PPA24-0342,Planning Pre-Application,"4105 E INLAND EMPIRE BL, Ontario CA 91764",10/24/2024,Complete
PTUP24-080,Temporary Use Permit,"725 N MILLIKEN AV, ONTARIO CA 91764",10/23/2024,Approved
PPA24-0341,Planning Pre-Application,"303 E B ST, ONTARIO CA 91764",10/23/2024,Withdrawn
PPA24-0340,Planning Pre-Application,"1425 S TOYOTA WY, ONTARIO CA 91761",10/22/2024,Complete
PTUP24-079,Temporary Use Permit,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",10/21/2024,Approved
PPA24-0339,Planning Pre-Application,"1520 N MOUNTAIN AV, SUITE 103, ONTARIO CA 91762",10/21/2024,Complete
PPA24-0338,Planning Pre-Application,"4246 E ONTARIO RANCH RD, ONTARIO CA 91762",10/21/2024,Complete
PSGN24-111,Sign Permit,"960 N ONTARIO MILLS DR, ONTARIO CA 91764",10/18/2024,Approved Final
PPA24-0337,Planning Pre-Application,"0 E CHINO AV, ONTARIO CA 91761",10/18/2024,Complete
24TMP-009184,Planning Pre-Application,"112 S EUCLID AV, SUITE 200, ONTARIO CA 91762",10/17/2024,ACA Docs Uploaded
PDEV24-025,Development Plan,"1240 W FOURTH ST, ONTARIO CA 91762",10/17/2024,Approved Final
PDEV24-024,Development Plan,"0 S EUCLID AV, ONTARIO CA 91710",10/17/2024,Under Review
PPA24-0336,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",10/17/2024,Complete
PPA24-0335,Planning Pre-Application,"960 N ONTARIO MILLS DR, ONTARIO CA 91764",10/17/2024,Complete
PPA24-0334,Planning Pre-Application,"4980 S CELEBRATION AV, Ontario CA 91762",10/17/2024,Withdrawn
PSGN24-110,Sign Permit,"1722 E EIGHTH ST, BLDG 1, ONTARIO CA 91764",10/16/2024,Under Review
PDA-24-003,Development Agreement,"303 e AV, Ontario CA United States",10/16/2024,Under Review
PPA24-0333,Planning Pre-Application,"1240 W FOURTH ST, ONTARIO CA 91762",10/16/2024,Complete
PPA24-0332,Planning Pre-Application,"303 E B ST, ONTARIO CA 91764",10/16/2024,Withdrawn
PPA24-0331,Planning Pre-Application,"303 e AV, Ontario CA United States",10/16/2024,Complete
PVER24-048,Zoning Verification Letter,"617 E SUNKIST ST, ONTARIO CA 91761",10/15/2024,Approved
PVER24-047,Zoning Verification Letter,"2830 E PHILADELPHIA ST, ONTARIO CA 91761",10/15/2024,Approved
PSGN24-109,Sign Permit,"5742 E ONTARIO MILLS PW, ONTARIO CA 91764",10/15/2024,Under Review
PSGN24-108,Sign Permit,"3190 E SHELBY ST, BLDG B, ONTARIO CA 91764",10/15/2024,Approved Final
PSGN24-107,Sign Permit,"1714 S EUCLID AV, BLDG 1, ONTARIO CA 91762",10/15/2024,Approved Final
PSGN24-106,Sign Permit,"1630 E FOURTH ST, SUITE J, ONTARIO CA 91764",10/15/2024,Approved Final
PSTRP24-010,Short Term Rental License,"642 W H ST, ONTARIO CA 91762",10/15/2024,Withdrawn
PPA24-0330,Planning Pre-Application,"2421 S VINEYARD AV, Ontario CA 91761",10/15/2024,Complete
PPA24-0329,Planning Pre-Application,"1722 E EIGHTH ST, BLDG 1, ONTARIO CA 91764",10/15/2024,Complete
PPA24-0328,Planning Pre-Application,"617 E SUNKIST ST, ONTARIO CA 91761",10/14/2024,Complete
PPA24-0327,Planning Pre-Application,"2830 E PHILADELPHIA ST, ONTARIO CA 91761",10/14/2024,Complete
PCUP24-024,Conditional Use Permit,"1640 E FOURTH ST, SUITE B, ONTARIO CA 91764",10/11/2024,Scheduled for ZA Hearing
PPA24-0326,Planning Pre-Application,"5742 E ONTARIO MILLS PW, ONTARIO CA 91764",10/11/2024,Complete
PPA24-0325,Planning Pre-Application,"1012 N OAKS AV, ONTARIO CA 91762",10/11/2024,Withdrawn
PMTT24-012,Parcel Tract Map,"0 S MILL CK, ONTARIO CA 91761",10/10/2024,Active
PSGN24-105,Sign Permit,"4325 E GUASTI RD, BLDG 2, ONTARIO CA 91761",10/10/2024,Approved Final
PSGN24-104,Sign Permit,"2522 S GROVE AV, SUITE A, ONTARIO CA 91761",10/10/2024,Approved Final
PSGN24-103,Sign Permit,"430 N MOUNTAIN AV, ONTARIO CA 91762",10/10/2024,Approved Final
PDFR24-005,DIF Deferral Application,,10/10/2024,
PPA24-0324,Planning Pre-Application,"756 E HOLT BL, SUITE A, ONTARIO CA 91761",10/10/2024,Withdrawn
PPA24-0323,Planning Pre-Application,"1714 S EUCLID AV, BLDG 1, ONTARIO CA 91762",10/10/2024,Complete
PPA24-0322,Planning Pre-Application,"1630 E FOURTH ST, SUITE J, ONTARIO CA 91764",10/10/2024,Complete
PPA24-0321,Planning Pre-Application,"1640 E FOURTH ST, SUITE B, ONTARIO CA 91764",10/10/2024,Complete
PVER24-046,Zoning Verification Letter,"5125 E ONTARIO MILLS PW, BLDG 1, ONTARIO CA 91764",10/9/2024,Approved
PVER24-045,Zoning Verification Letter,"1670 S CHAMPAGNE AV, ONTARIO CA 91761",10/9/2024,Approved
PPA24-0320,Planning Pre-Application,"430 N MOUNTAIN AV, ONTARIO CA 91762",10/9/2024,Complete
PPA24-0319,Planning Pre-Application,"2522 S GROVE AV, SUITE A, ONTARIO CA 91761",10/9/2024,Complete
PSTRP24-009,Short Term Rental License,"125 E H ST, ONTARIO CA 91764",10/9/2024,Issued
PPA24-0318,Planning Pre-Application,"1714 S EUCLID AV, BLDG 1, ONTARIO CA 91762",10/9/2024,Resubmittal Required
PPA24-0317,Planning Pre-Application,"5125 E ONTARIO MILLS PW, BLDG 1, ONTARIO CA 91764",10/9/2024,Complete
PPA24-0316,Planning Pre-Application,"1670 S CHAMPAGNE AV, ONTARIO CA 91761",10/9/2024,Complete
PSTRP24-008,Short Term Rental License,"846 W CHESTNUT ST, ONTARIO CA 91762",10/8/2024,Corrections Required
PPA24-0314,Planning Pre-Application,"430 N VINEYARD AV, SUITE 100, ONTARIO CA 91764",10/7/2024,Complete
24TMP-008767,Planning Pre-Application,"430 N Vineyard AV, BLDG, Ontario CA United States",10/6/2024,
PPA24-0313,Planning Pre-Application,"650 W RALSTON ST, ONTARIO CA 91762",10/6/2024,Withdrawn
PSGN24-102,Sign Permit,"3410 E ONTARIO RANCH RD, SUITE 4, ONTARIO CA 91761",10/4/2024,Approved Final
PPA24-0312,Planning Pre-Application,"3410 E ONTARIO RANCH RD, SUITE 4, ONTARIO CA 91761",10/4/2024,Complete
PSPA24-005,Specific Plan Amendment,"8533 E EDISON AV, ONTARIO CA 91710",10/3/2024,Under Review
PSTRP24-007,Short Term Rental License,"1220 S CYPRESS AV, SUITE G, Ontario CA 91762",10/3/2024,Withdrawn
PPA24-0311,Planning Pre-Application,"1220 S CYPRESS AV, SUITE G, ONTARIO CA 91762",10/3/2024,Withdrawn
PPA24-0310,Planning Pre-Application,"1220 S CYPRESS AV, SUITE G, ONTARIO CA 91762",10/3/2024,Withdrawn
PSGN24-101,Sign Permit,"302 S ROCKEFELLER AV, SUITE 100, Ontario CA 91761",10/1/2024,Approved Final
PPA24-0309,Planning Pre-Application,"8533 E EDISON AV, ONTARIO CA 91710",10/1/2024,Complete
PMTT24-011,Parcel Tract Map,"7365 E SCHAEFER AV, ONTARIO CA 91761",9/30/2024,Under Review
PSGN24-100,Sign Permit,"920 N HAVEN AV, Ontario CA 91764",9/30/2024,Approved Final
PPA24-0308,Planning Pre-Application,"302 S ROCKEFELLER AV, SUITE 100, Ontario CA 91761",9/30/2024,Complete
PPA24-0307,Planning Pre-Application,"13813 S EUCLID AV, ONTARIO CA 91761",9/30/2024,Complete
PPA24-0306,Planning Pre-Application,"0 S ARCHIBALD AV, ONTARIO CA 91761",9/30/2024,Complete
PTUP24-078,Temporary Use Permit,"960 E CALIFORNIA ST, ONTARIO CA 91761",9/26/2024,Under Review
PTUP24-077,Temporary Use Permit,"814 S GREENWOOD AV, ONTARIO CA 91761",9/26/2024,Under Review
24TMP-008428,Planning Pre-Application,"1528 S BRIAR AV, ONTARIO CA 91762",9/25/2024,
24TMP-008418,Planning Pre-Application,"710 N CUCAMONGA, Ontario CA United States",9/25/2024,
PTUP24-076,Temporary Use Permit,"2500 S ARCHIBALD AV, ONTARIO CA 91761",9/25/2024,Approved
PTUP24-075,Temporary Use Permit,250 Turner,9/25/2024,Approved
PDEV24-023,Development Plan,,9/25/2024,Active
PDEV24-022,Development Plan,,9/25/2024,Active
PPA24-0305,Planning Pre-Application,"920 N HAVEN AV, Ontario CA 91764",9/25/2024,Complete
PZC-24-002,Zone Change,,9/25/2024,Active
PZC-24-001,Zone Change,,9/25/2024,Active
PSP-24-004,Specific Plan,,9/25/2024,Active
PSP-24-003,Specific Plan,,9/25/2024,Active
PMTT24-010,Parcel Tract Map,,9/25/2024,Active
PMTT24-009,Parcel Tract Map,,9/25/2024,Active
PGPA24-005,General Plan Amendment,,9/25/2024,Active
PGPA24-004,General Plan Amendment,,9/25/2024,Active
PDIF24-003,DIF Credit Agreement,,9/25/2024,Active
PDIF24-002,DIF Credit Agreement,,9/25/2024,Active
PDA-24-002,Development Agreement,,9/25/2024,Under Review
PDA-24-001,Development Agreement,,9/25/2024,Under Review
PCUP24-023,Conditional Use Permit,,9/25/2024,Active
PCUP24-022,Conditional Use Permit,,9/25/2024,Active
PADX24-002,Administrative Exception,,9/25/2024,Active
PADX24-001,Administrative Exception,,9/25/2024,Active
PHP-24-009,Historical Preservation,"901 W SIXTH ST, ONTARIO CA 91762",9/24/2024,Under Review
PSGN24-099,Sign Permit,"1900 E INLAND EMPIRE BL, ONTARIO CA 91764",9/24/2024,Approved Final
PPA24-0315,Planning Pre-Application,"901 W SIXTH ST, ONTARIO CA 91762",9/24/2024,Withdrawn
PPA24-0304,Planning Pre-Application,"11111 E EDISON AV, ONTARIO CA 91762",9/24/2024,Withdrawn
PPA24-0303,Planning Pre-Application,"11111 E EDISON AV, ONTARIO CA 91762",9/24/2024,Withdrawn
PPA24-0302,Planning Pre-Application,"3298 E KANE DR, ONTARIO CA 91762",9/24/2024,Withdrawn
PPA24-0301,Planning Pre-Application,"2550 S ARCHIBALD AV, SUITE A, ONTARIO CA 91761",9/24/2024,Resubmittal Required
24TMP-008315,Planning Pre-Application,"1776 E HOLT BL, BLDG 1, ONTARIO CA 91761",9/23/2024,
PVER24-044,Zoning Verification Letter,"1275 S DUPONT AV, ONTARIO CA 91761",9/23/2024,Approved
PSGN24-098,Sign Permit,"1776 E HOLT BL, BLDG 2, ONTARIO CA 91761",9/23/2024,Approved Final
PDEV24-021,Development Plan,"1656 S BON VIEW AV, BLDG 6, ONTARIO CA 91761",9/23/2024,Withdrawn
PPA24-0300,Planning Pre-Application,"710 N CUCAMONGA AV, Ontario CA 91764",9/23/2024,Withdrawn
PPA24-0299,Planning Pre-Application,"1275 S DUPONT AV, ONTARIO CA 91761",9/23/2024,Complete
PPA24-0298,Planning Pre-Application,"1275 S DUPONT AV, ONTARIO CA 91761",9/20/2024,Resubmittal Required
PPA24-0297,Planning Pre-Application,"610 E I ST, Ontario CA 91764",9/20/2024,Withdrawn
PPA24-0296,Planning Pre-Application,"901 W SIXTH ST, ONTARIO CA 91762",9/19/2024,Complete
PPRE24-004,Preliminary Review,"1660 E EUCALYPTUS AV, ONTARIO CA 91762",9/18/2024,Under Review
PDEV24-020,Development Plan,"1940 E EUCALYPTUS AV, ONTARIO CA 91762",9/18/2024,Under Review
PCUP24-021,Conditional Use Permit,"1445 W SPRUCE CT, ONTARIO CA 91762",9/18/2024,Approved Final
PPA24-0295,Planning Pre-Application,"1656 S BON VIEW AV, BLDG 6, ONTARIO CA 91761",9/18/2024,Complete
PPA24-0294,Planning Pre-Application,"1940 E EUCALYPTUS AV, ONTARIO CA 91762",9/18/2024,Complete
PSGN24-097,Sign Permit,"2225 S MOUNTAIN AV, BLDG 2, ONTARIO CA 91762",9/13/2024,Approved Final
PPA24-0293,Planning Pre-Application,"806 E ELMA ST, ONTARIO CA 91761",9/13/2024,Withdrawn
PPA24-0292,Planning Pre-Application,"910 N HAVEN AV, SUITE 100, ONTARIO CA 91764",9/13/2024,Withdrawn
PTUP24-074,Temporary Use Permit,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",9/12/2024,Approved
PTUP24-073,Temporary Use Permit,2980 Euclid,9/12/2024,Approved
PSGP24-004,Sign Program,"2530 S EUCLID AV, ONTARIO CA 91762",9/12/2024,Approved Final
PTUP24-072,Temporary Use Permit,"3998 E INLAND EMPIRE BL, SUITE 400, ONTARIO CA 91764",9/11/2024,Withdrawn
PTUP24-071,Temporary Use Permit,"1025 N VINE AV, ONTARIO CA 91762",9/11/2024,Approved
PPA24-0291,Planning Pre-Application,"2530 S EUCLID AV, ONTARIO CA 91762",9/11/2024,Complete
PPA24-0290,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",9/11/2024,Complete
PPA24-0289,Planning Pre-Application,"3998 E INLAND EMPIRE BL, SUITE 400, ONTARIO CA 91764",9/10/2024,Complete
PVER24-043,Zoning Verification Letter,"2281 S HAVEN AV, ONTARIO CA 91761",9/9/2024,Approved
PTUP24-070,Temporary Use Permit,"4246 S HUMMINGBIRD PASEO, ONTARIO CA 91762",9/9/2024,Approved
PTUP24-069,Temporary Use Permit,"4255 S MALAGON PRIVADO, ONTARIO CA 0",9/9/2024,Approved
PTUP24-068,Temporary Use Permit,"4207 S CLIFTON AV, ONTARIO CA 91762",9/9/2024,Approved
PPA24-0288,Planning Pre-Application,"2281 S HAVEN AV, ONTARIO CA 91761",9/9/2024,Complete
PPA24-0287,Planning Pre-Application,"303 E B ST, ONTARIO CA 91764",9/9/2024,Complete
PPA24-0286,Planning Pre-Application,"556 W NEVADA ST, ONTARIO CA 91762",9/8/2024,Withdrawn
24TMP-007813,Short Term Rental License,"223 W BERMUDA DUNES ST, ONTARIO CA 91762",9/6/2024,
PVER24-042,Zoning Verification Letter,"3333 E CONCOURS ST, SUITE 100, ONTARIO CA 91764",9/6/2024,Approved
PPA24-0285,Planning Pre-Application,"927 E PLAZA SERENA ST, ONTARIO CA 91764",9/6/2024,Withdrawn
PPA24-0284,Planning Pre-Application,"3333 E CONCOURS ST, SUITE 100, ONTARIO CA 91764",9/6/2024,Complete
PVER24-041,Zoning Verification Letter,"3190 E PHILADELPHIA ST, ONTARIO CA 91761",9/5/2024,Approved
PPA24-0283,Planning Pre-Application,"4246 S HUMMINGBIRD PASEO, ONTARIO CA 91762",9/5/2024,Complete
PPA24-0282,Planning Pre-Application,"4255 S MALAGON PRIVADO, ONTARIO CA 0",9/5/2024,Complete
PPA24-0281,Planning Pre-Application,"4207 S CLIFTON AV, ONTARIO CA 91762",9/5/2024,Complete
PTUP24-067,Temporary Use Permit,"1150 W FOURTH ST, ONTARIO CA 91762",9/4/2024,Approved
PTUP24-066,Temporary Use Permit,"1150 W FOURTH ST, ONTARIO CA 91762",9/4/2024,Approved
PTUP24-065,Temporary Use Permit,"217 S LEMON AV, BLDG 2, ONTARIO CA 91761",9/4/2024,Approved
PSGN24-096,Sign Permit,"102 S WANAMAKER AV, ONTARIO CA 91761",9/4/2024,Approved Final
PSGN24-095,Sign Permit,"2780 E RIVERSIDE DR, SUITE C, Ontario CA 91761",9/4/2024,Approved Final
PSTRP24-006,Short Term Rental License,"1369 S EUCLID AV, Ontario CA 91761",9/4/2024,Withdrawn
PPA24-0280,Planning Pre-Application,"102 S WANAMAKER AV, ONTARIO CA 91761",9/4/2024,Complete
PTUP24-064,Temporary Use Permit,"437 N EUCLID AV, ONTARIO CA 91762",9/3/2024,Approved
PDEV24-019,Development Plan,"0 Eucalyptus AV, Ontario CA United States",9/3/2024,Under Review
PPA24-0279,Planning Pre-Application,"2780 E RIVERSIDE DR, SUITE C, Ontario CA 91761",9/3/2024,Complete
PPA24-0278,Planning Pre-Application,"1150 W FOURTH ST, ONTARIO CA 91762",9/3/2024,Complete
PPA24-0277,Planning Pre-Application,"1150 W FOURTH ST, ONTARIO CA 91762",9/3/2024,Complete
PPA24-0276,Planning Pre-Application,"4087 E AUBURN WY, ONTARIO CA 91761",9/2/2024,Withdrawn
PPA24-0275,Planning Pre-Application,"1909 E SEVENTH ST, Ontario CA 91764",9/2/2024,Withdrawn
PPA24-0274,Planning Pre-Application,"556 W NEVADA ST, ONTARIO CA 91762",9/1/2024,Withdrawn
PVER24-040,Zoning Verification Letter,"4117 E CONCOURS ST, ONTARIO CA 91764",8/30/2024,Approved
PSTRP24-005,Short Term Rental License,"1711 E HAWTHORNE ST, Ontario CA 91764",8/30/2024,Withdrawn
PPA24-0273,Planning Pre-Application,"4117 E CONCOURS ST, ONTARIO CA 91764",8/30/2024,Complete
24TMP-007586,Planning Pre-Application,"950 W D ST, BLDG NA, Ontario CA United States",8/29/2024,
PPA24-0272,Planning Pre-Application,"1063 E ELMA ST, ONTARIO CA 91761",8/29/2024,Withdrawn
PVER24-039,Zoning Verification Letter,"3000 E PHILADELPHIA ST, Ontario CA 91761",8/28/2024,Approved
PPA24-0271,Planning Pre-Application,"3190 E PHILADELPHIA ST, ONTARIO CA 91761",8/28/2024,Complete
PPA24-0270,Planning Pre-Application,"3000 E PHILADELPHIA ST, Ontario CA 91761",8/28/2024,Complete
24TMP-007504,Planning Pre-Application,"1 E MILLS CI, SUITE 351, ONTARIO CA 91764",8/27/2024,
PTUP24-063,Temporary Use Permit,"710 S SULTANA AV, ONTARIO CA 91761",8/27/2024,Approved
PSGN24-094,Sign Permit,"2550 S ARCHIBALD AV, SUITE D, ONTARIO CA 91761",8/27/2024,Approved Final
PDEV24-018,Development Plan,"2800 E INLAND EMPIRE BL, ONTARIO CA 91764",8/27/2024,Under Review
PPA24-0269,Planning Pre-Application,"2550 S ARCHIBALD AV, SUITE D, ONTARIO CA 91761",8/27/2024,Complete
24TMP-007456,Short Term Rental License,"3159 S CLOVER LN, ONTARIO CA 91761",8/26/2024,ACA Docs Uploaded
PDCA24-003,Development Code Amendment,,8/26/2024,Active
PPA24-0268,Planning Pre-Application,"0 Eucalyptus AV, Ontario CA United States",8/26/2024,Complete
PPA24-0267,Planning Pre-Application,"0 EUCALYPTUS AV, ONTARIO CA 91762",8/26/2024,Withdrawn
PPA24-0266,Planning Pre-Application,"1346 W PHILADELPHIA ST, SUITE A, ONTARIO CA 91762",8/24/2024,Complete
PTUP24-062,Temporary Use Permit,"4105 E INLAND EMPIRE BL, ONTARIO CA 91764",8/23/2024,Approved
PSGN24-093,Sign Permit,"735 N MILLIKEN AV, SUITE D, ONTARIO CA 91764",8/23/2024,Approved Final
PPA24-0265,Planning Pre-Application,"3968 E AMERICAN RIVER RD, ONTARIO CA 91761",8/23/2024,Withdrawn
PSGN24-092,Sign Permit,"5600 E AIRPORT DR, ONTARIO CA 91761",8/22/2024,Approved Final
PPA24-0264,Planning Pre-Application,"612 N EUCLID AV, ONTARIO CA 91764",8/22/2024,Complete
PPA24-0263,Planning Pre-Application,"4714 S GARDEN GATE LN, ONTARIO CA 91762",8/22/2024,Withdrawn
PPA24-0262,Planning Pre-Application,"1522 W MISSION BL, Ontario CA 91762",8/21/2024,Withdrawn
PPA24-0261,Planning Pre-Application,"4105 E INLAND EMPIRE BL, ONTARIO CA 91764",8/21/2024,Complete
PPA24-0260,Planning Pre-Application,"915 W YALE ST, ONTARIO CA 91762",8/20/2024,Withdrawn
PPA24-0259,Planning Pre-Application,"1367 N ISADORA WY, ONTARIO CA 91764",8/20/2024,Withdrawn
PSGN24-091,Sign Permit,"2528 S GROVE AV, ONTARIO CA 91761",8/19/2024,Approved Final
PPA24-0258,Planning Pre-Application,"2528 S GROVE AV, ONTARIO CA 91761",8/17/2024,Complete
PVER24-038,Zoning Verification Letter,"1670 S CHAMPAGNE AV, ONTARIO CA 91761",8/16/2024,Approved
24TMP-007118,Planning Pre-Application,,8/15/2024,
PVER24-037,Zoning Verification Letter,"1651 S CARLOS AV, ONTARIO CA 91761",8/15/2024,Approved
PTUP24-061,Temporary Use Permit,"4105 E INLAND EMPIRE BL, ONTARIO CA 91764",8/15/2024,Approved
PSGN24-090,Sign Permit,"1429 N EUCLID AV, ONTARIO CA 91762",8/15/2024,Active
